,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
174,oyster - 1,0.9354275741710296,0.9823182711198428,0.8849557522123894,0.931098696461825
175,oyster - 2,0.9336823734729494,0.9962894248608535,0.8788870703764321,0.9339130434782609
176,oyster - 3,0.6509598603839442,0.60262891809909,0.988391376451078,0.7487437185929648
177,panda - 1,0.7994768962510898,0.717948717948718,0.9824561403508771,0.8296296296296296
178,panda - 2,0.95640802092415,0.9911504424778761,0.9256198347107438,0.9572649572649573
179,panda - 3,0.9180470793374019,0.9829545454545454,0.859271523178808,0.9169611307420494
180,parrot - 1,0.9554195804195804,0.961335676625659,0.9496527777777778,0.9554585152838428
181,parrot - 2,0.881993006993007,0.8367052023121387,0.9633943427620633,0.8955916473317865
182,parrot - 3,0.9571303587051618,0.9585406301824212,0.9601328903654485,0.959336099585062
183,pelecaniformes - 1,0.9301919720767888,0.9284467713787086,0.9316987740805605,0.9300699300699301
184,pelecaniformes - 2,0.9283842794759826,0.9694244604316546,0.8923841059602649,0.9293103448275861
185,pelecaniformes - 3,0.8716157205240175,0.8365243004418262,0.9403973509933775,0.8854247856586126
186,penguin - 1,0.9562171628721541,0.9517241379310345,0.9616724738675958,0.9566724436741768
187,penguin - 2,0.9509632224168126,0.9789103690685413,0.9267886855241264,0.9521367521367521
188,penguin - 3,0.9702276707530648,0.9781879194630873,0.9652317880794702,0.9716666666666667
189,pig - 1,0.7074235807860262,0.6328828828828829,0.9842381786339754,0.77039067854695
190,pig - 2,0.6270742358078603,0.59026369168357,0.9619834710743802,0.7316153362664991
191,pig - 3,0.9266375545851528,0.9887005649717514,0.8706467661691543,0.9259259259259259
192,pigeon - 1,0.9466316710411199,0.9690909090909091,0.9237435008665511,0.945874001774623
193,pigeon - 2,0.882661996497373,1.0,0.7759197324414716,0.8738229755178909
194,pigeon - 3,0.9185639229422067,0.9088,0.9403973509933775,0.9243287225386493
195,porcupine - 1,0.7780701754385965,0.6978776529338327,0.980701754385965,0.8154631655725748
196,porcupine - 2,0.8893766461808604,0.9917525773195877,0.7976782752902156,0.8841911764705883
197,porcupine - 3,0.6979806848112379,0.9962121212121212,0.43399339933993397,0.6045977011494252
198,possum - 1,0.8541300527240774,0.8008720930232558,0.95,0.8690851735015772
199,possum - 2,0.937609841827768,0.9577464788732394,0.9204737732656514,0.9387402933563416
200,possum - 3,0.8856640281442393,0.8610271903323263,0.9375,0.8976377952755906
